currentPrice,dirtyTicketInd,listingId,listingPrice,quantity,retrieveTime,row,score,seatNumbers,sectionId,sectionName,sellerSectionName,zoneId,zoneName,Event,Date
90.1,FALSE,1299800892,73,4,3/18/18 0:58,8,0,13;14;15;16,30198,Mezzanine Goal 220,UPPER:220,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
91.3,FALSE,1311835869,74,2,3/18/18 0:58,13,0,NA,30175,Mezzanine Center 214,UPPER:214,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
91.3,FALSE,1314552455,74,4,3/18/18 0:58,9,0,NA,30184,Mezzanine Goal 207,UPPER:207,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
91.3,FALSE,1314586686,74,3,3/18/18 0:58,8,0,NA,30188,Mezzanine Goal 209A,UPPER:209A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
91.3,FALSE,1313152666,74,3,3/18/18 0:58,15,0,NA,30184,Mezzanine Goal 207,UPPER:207,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
91.3,FALSE,1307209442,74,3,3/18/18 0:58,14,0,NA,30172,Mezzanine Center 211,UPPER:211,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
91.3,FALSE,1314441107,74,4,3/18/18 0:58,14,0,NA,30188,Mezzanine Goal 209A,UPPER:209A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
91.9,FALSE,1300340043,74.5,2,3/18/18 0:58,4,0,1;2,30182,Mezzanine Goal 205A,UPPER:205A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.49,FALSE,1311214428,74.99,2,3/18/18 0:58,15,0,17;18,30185,Mezzanine Goal 207A,UPPER:207A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1312574785,75,2,3/18/18 0:58,4,0,1;2,30196,Mezzanine Goal 219,UPPER:219,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1313541263,75,4,3/18/18 0:58,13,0,NA,30179,Mezzanine Goal 204,UPPER:204,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1306676175,75,4,3/18/18 0:58,8,0,NA,30180,Mezzanine Goal 204A,UPPER:204A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1306677125,75,2,3/18/18 0:58,7,0,NA,30179,Mezzanine Goal 204,UPPER:204,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1310368123,75,2,3/18/18 0:58,6,0,NA,30182,Mezzanine Goal 205A,UPPER:205A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1298733584,75,2,3/18/18 0:58,7,0,NA,30183,Mezzanine Goal 206,UPPER:206,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1310368115,75,2,3/18/18 0:58,6,0,NA,30184,Mezzanine Goal 207,UPPER:207,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1314467810,75,5,3/18/18 0:58,15,0,NA,30179,Mezzanine Goal 204,UPPER:204,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1307192782,75,6,3/18/18 0:58,10,0,NA,30176,Mezzanine Center 215,UPPER:215,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1313898069,75,8,3/18/18 0:58,12,0,NA,30176,Mezzanine Center 215,UPPER:215,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1313898067,75,8,3/18/18 0:58,12,0,NA,30190,Mezzanine Goal 210A,UPPER:210A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1302251900,75,6,3/18/18 0:58,11,0,NA,30188,Mezzanine Goal 209A,UPPER:209A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1301243896,75,6,3/18/18 0:58,13,0,NA,30187,Mezzanine Goal 209,UPPER:209,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1314441097,75,8,3/18/18 0:58,12,0,NA,30188,Mezzanine Goal 209A,UPPER:209A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1313613302,75,8,3/18/18 0:58,13,0,NA,30187,Mezzanine Goal 209,UPPER:209,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1311572091,75,7,3/18/18 0:58,10,0,NA,30185,Mezzanine Goal 207A,UPPER:207A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1314441098,75,4,3/18/18 0:58,12,0,NA,30187,Mezzanine Goal 209,UPPER:209,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1301243923,75,6,3/18/18 0:58,9,0,NA,30189,Mezzanine Goal 210,UPPER:210,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1307193644,75,8,3/18/18 0:58,13,0,NA,30188,Mezzanine Goal 209A,UPPER:209A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1302251925,75,5,3/18/18 0:58,15,0,NA,30186,Mezzanine Goal 208,UPPER:208,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1301243917,75,8,3/18/18 0:58,14,0,NA,30189,Mezzanine Goal 210,UPPER:210,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1301243922,75,6,3/18/18 0:58,15,0,NA,30187,Mezzanine Goal 209,UPPER:209,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1301243921,75,6,3/18/18 0:58,13,0,NA,30185,Mezzanine Goal 207A,UPPER:207A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1302125732,75,6,3/18/18 0:58,12,0,NA,30176,Mezzanine Center 215,UPPER:215,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1314441104,75,8,3/18/18 0:58,15,0,NA,30189,Mezzanine Goal 210,UPPER:210,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1311634063,75,7,3/18/18 0:58,8,0,NA,30185,Mezzanine Goal 207A,UPPER:207A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1307192776,75,8,3/18/18 0:58,12,0,NA,30176,Mezzanine Center 215,UPPER:215,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1302251913,75,6,3/18/18 0:58,10,0,NA,30189,Mezzanine Goal 210,UPPER:210,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1314520842,75,6,3/18/18 0:58,8,0,NA,30187,Mezzanine Goal 209,UPPER:209,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1307192774,75,8,3/18/18 0:58,13,0,NA,30172,Mezzanine Center 211,UPPER:211,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1313898070,75,8,3/18/18 0:58,13,0,NA,30190,Mezzanine Goal 210A,UPPER:210A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1314441101,75,8,3/18/18 0:58,12,0,NA,30187,Mezzanine Goal 209,UPPER:209,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1311395080,75,8,3/18/18 0:58,15,0,NA,30187,Mezzanine Goal 209,UPPER:209,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1307193647,75,6,3/18/18 0:58,12,0,NA,30190,Mezzanine Goal 210A,UPPER:210A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1301243913,75,5,3/18/18 0:58,14,0,NA,30187,Mezzanine Goal 209,UPPER:209,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1311395079,75,7,3/18/18 0:58,11,0,NA,30189,Mezzanine Goal 210,UPPER:210,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1307193642,75,8,3/18/18 0:58,13,0,NA,30189,Mezzanine Goal 210,UPPER:210,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1307193640,75,8,3/18/18 0:58,11,0,NA,30185,Mezzanine Goal 207A,UPPER:207A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
